"Season","TeamName","eFGPct","RankeFGPct","TOPct","RankTOPct","ORPct","RankORPct","FTRate","RankFTRate"
2026,"Nebraska",47.1792890262751,34,19.0237047999933,71,27.1940667490729,47,24.7295208655332,8
2026,"Nebraska Omaha",52.0016012810248,217,14.4346018026068,325,29.3172690763052,119,35.5484387510008,196
2026,"Nevada",50.788643533123,156,17.3692664067734,154,28.9372599231754,97,39.1955835962145,275
2026,"New Hampshire",51.5193370165746,198,16.1677498932587,232,29.3478260869565,122,39.4106813996317,278
2026,"New Haven",52.2893772893773,231,17.1992110453649,166,28.6833855799373,86,27.4725274725275,29
2026,"New Mexico",48.3946750195771,64,19.7676185297434,42,28.030303030303,62,31.9498825371966,94
2026,"New Mexico St.",48.9903846153846,84,15.3513087974808,282,30.1684532924962,147,46.25,349
2026,"New Orleans",49.7208653175157,107,13.991617357002,339,34.6024636058231,325,39.6371249127704,280
2026,"Niagara",53.4716342082981,270,16.6352962265842,204,32.1533923303835,251,35.1397121083827,179
2026,"Nicholls",54.7044129891757,305,21.6725867967458,13,35.0746268656716,332,40.7993338884263,301
2026,"Norfolk St.",51.4758497316637,195,18.4937691890916,90,33.1845238095238,288,44.1860465116279,336
2026,"North Alabama",54.3324491600354,294,14.6282641785439,315,33.8533541341654,308,30.6808134394341,63
2026,"North Carolina",46.6880341880342,22,13.9413680781759,340,27.9445727482679,59,24.6438746438746,7
2026,"North Carolina A&T",51.9475021168501,214,14.2729065805989,330,27.1857923497268,46,38.0186282811177,257
2026,"North Carolina Central",56.6048034934498,351,18.6527540514336,85,38.1578947368421,358,39.8471615720524,284
2026,"North Dakota",56.8635275339186,353,20.1921963644784,25,31.9178082191781,239,46.6081404628891,351
2026,"North Dakota St.",52.3487261146497,234,19.5624616642813,53,28.3540802213001,74,29.2993630573248,51
2026,"North Florida",57.257525083612,354,12.2825926816219,364,38.1188118811881,357,31.5719063545151,86
2026,"North Texas",47.7727272727273,46,21.9340915925212,10,34.4055944055944,321,47.1818181818182,354
2026,"Northeastern",56.1654733492442,343,17.910544267171,124,33.1908831908832,289,40.3341288782816,292
2026,"Northern Arizona",56.2551781275891,345,16.7764697411528,191,33.2357247437775,290,30.9030654515327,71
2026,"Northern Colorado",51.2204724409449,182,12.6272066458982,361,25.0338294993234,9,38.8188976377953,272
2026,"Northern Illinois",54.3580131208997,295,17.3078017953049,156,31.6912972085386,231,41.3308341143393,312
2026,"Northern Iowa",46.1668070766639,16,17.5679385122152,142,26.1213720316623,22,31.1710193765796,78
2026,"Northern Kentucky",54.7562893081761,308,19.5301353793475,55,33.2413793103448,291,38.7578616352201,271
2026,"Northwestern",49.6996996996997,105,16.3539461195882,220,33.3333333333333,294,35.4354354354354,190
2026,"Northwestern St.",55.892547660312,338,17.0375739353753,174,33.6391437308869,302,39.8613518197574,285
2026,"Notre Dame",50.4166666666667,138,14.1072930822494,336,25.9351620947631,17,34.0909090909091,141
2026,"Oakland",54.0931989924433,288,14.9203907168464,303,34.2728297632469,317,23.6146095717884,4
2026,"Ohio",52.5494672754947,243,17.385213016621,153,33.3769633507853,297,37.3668188736682,234
2026,"Ohio St.",49.4212962962963,92,16.2412993039443,226,30.4347826086957,160,33.7191358024691,131
2026,"Oklahoma",51.1444921316166,176,15.1916072595959,292,31.2796208530806,202,33.1187410586552,118
2026,"Oklahoma St.",52.0743919885551,220,17.2717288278394,159,29.3062200956938,118,31.7596566523605,89
2026,"Old Dominion",50.4761904761905,141,14.5710568607944,318,30.5288461538462,164,42.7838827838828,322
2026,"Oral Roberts",55.1488334674175,318,15.0853242320819,296,34.1880341880342,314,39.9034593724859,286
2026,"Oregon",51.2810559006211,186,15.6273783550662,265,31.8783068783069,236,31.9099378881988,93
